Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
1911 10TH ST #A,OOCC - Owner Occupied since 5/1/1995,n/a,n/a,(no active services),n/a
1911 10TH ST #B,(~) MISC - Exempt-Misc since 10/1/2012,n/a,n/a,Garbage,n/a
1911 10TH ST #C,NAR - Not Available for Rent since 7/1/2014,n/a,n/a,Garbage,n/a
1911 10TH ST #D,NAR - Not Available for Rent since 6/1/2003,n/a,n/a,Garbage,n/a
1911 10TH ST #E,RENTED - Rented or Available since 3/18/1994,n/a,$764.38,(no active services),# Bed: 0
1920 10TH ST #2,RENTED - Rented or Available,4/1/06,"$1,496.34","Appliances, Garbage, Gas, Heat, Water",# Bed: 3# Occ: 2
1920 10TH ST #3,RENTED - Rented or Available,2/14/15,$700.00,"Appliances, Garbage, Parking, Water",# Bed: 1# Occ: 1
1920 10TH ST #4,RENTED - Rented or Available,1/31/14,"$1,319.50","Appliances, Cable TV, Garbage, Parking, Water",# Bed: 1# Occ: 1
1925 10TH ST #1,RENTED - Rented or Available,10/17/14,"$1,065.75","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
1925 10TH ST #2,RENTED - Rented or Available,6/20/16,"$1,350.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
1925 10TH ST #3,RENTED - Rented or Available,5/14/05,$797.15,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water",# Bed: 0# Occ: 1
1925 10TH ST #4,RENTED - Rented or Available,8/8/13,$993.89,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
1925 10TH ST #5,RENTED - Rented or Available,5/10/14,"$1,040.38","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
1925 10TH ST #6,RENTED - Rented or Available,1/29/15,"$1,100.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
1925 10TH ST #7,RENTED - Rented or Available,8/4/16,"$1,350.00","Appliances, Electricity, Garbage, Gas, Heat, Water",# Bed: 0# Occ: 1
1925 10TH ST #8,RENTED - Rented or Available,5/31/80,"$1,072.09","Electricity, Garbage, Gas, Laundry Access, Water",# Bed: 1# Occ: 0
1925 10TH ST #9,RENTED - Rented or Available,5/1/16,"$1,350.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
1925 10TH ST #10,RENTED - Rented or Available,8/14/14,"$1,167.25","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
1925 10TH ST #11,RENTED - Rented or Available,1/15/16,"$1,350.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
1925 10TH ST #12,RENTED - Rented or Available,8/21/15,"$1,295.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
1925 10TH ST #13,RENTED - Rented or Available,6/20/14,"$1,111.43","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
1925 10TH ST #14,RENTED - Rented or Available,7/16/13,$983.54,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
2010 10TH ST #A,RENTED - Rented or Available,5/1/14,"$1,212.93","Appliances, Garbage, Heat, Storage",# Bed: 0# Occ: 2
2010 10TH ST #B,OOCC - Owner Occupied since 4/1/2014,n/a,n/a,"Appliances, Garbage",n/a
2010 10TH ST #C,RENTED - Rented or Available,5/21/11,"$1,418.82","Garbage, Laundry Access",# Bed: 2# Occ: 2
2112 10TH ST,(~) MISC - Exempt-Misc since 1/1/2010,n/a,n/a,Parking,n/a
2112 10TH ST #A,(~) MISC - Exempt-Misc since 3/8/2008,n/a,n/a,"Appliances, Garbage, Parking, Water",n/a
2112 10TH ST #B,(~) MISC - Exempt-Misc since 6/5/2003,n/a,n/a,Parking,n/a
2113 10TH ST #1,RENTED - Rented or Available,6/8/12,"$1,258.22","Appliances, Garbage, Laundry Access, Parking",# Bed: 2# Occ: 3
2113 10TH ST #2,RENTED - Rented or Available,8/1/14,"$1,517.43","Appliances, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
