Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
2923 FULTON ST,RENTED - Rented or Available,7/1/10,"$2,175.86","Appliances, Garbage, Water",# Bed: 2# Occ: 3
2925 FULTON ST,RENTED - Rented or Available,12/1/05,"$1,771.44","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 1
2927 FULTON ST,RENTED - Rented or Available,12/15/12,"$1,316.13","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2926 FULTON ST,OOCC - Owner Occupied since 4/30/1990,n/a,n/a,(no active services),n/a
2928 FULTON ST #A,RENTED - Rented or Available since 5/1/1994,n/a,$624.45,"Garbage, Laundry Access",# Bed: 1
2928 FULTON ST #B,RENTED - Rented or Available,5/1/09,"$1,236.87","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 1
3005 FULTON ST,OOCC - Owner Occupied since 7/1/1988,n/a,n/a,"Garbage, Laundry Access, Parking, Storage, Water",n/a
3007 FULTON ST #1,RENTED - Rented or Available,9/15/11,"$2,569.92","Electricity, Garbage, Gas, Water",# Bed: 3# Occ: 3
3007 FULTON ST #2,RENTED - Rented or Available,9/1/15,"$2,000.00","Garbage, Gas, Water",# Bed: 0# Occ: 1
3007 FULTON ST #3,RENTED - Rented or Available,7/1/13,"$1,552.95","Garbage, Gas, Water",# Bed: 1# Occ: 2
3012 FULTON ST,(~) MISC - Exempt-Misc since 5/1/1998,n/a,n/a,"Garbage, Parking, Water",n/a
3014 FULTON ST,(~) MISC - Exempt-Misc since 7/14/1990,n/a,n/a,(no active services),n/a
3014 FULTON ST #A,OOCC - Owner Occupied since 7/14/1990,n/a,n/a,(no active services),n/a
3017 FULTON ST #A,RENTED - Rented or Available,10/1/08,"$1,370.80",Garbage,# Bed: 1# Occ: 1
3017 FULTON ST #B,RENTED - Rented or Available,1/1/07,"$1,407.82","Garbage, Storage",# Bed: 1# Occ: 2
3017 FULTON ST #C,OOCC - Owner Occupied since 5/1/2005,n/a,n/a,"Garbage, Parking",n/a
3017 FULTON ST #D,RENTED - Rented or Available,10/1/15,"$1,900.00",Garbage,# Bed: 1# Occ: 2
3018 FULTON ST #A,RENTED - Rented or Available,6/1/10,"$1,196.73",Garbage,# Bed: 2# Occ: 4
3018 FULTON ST #B,RENTED - Rented or Available,2/1/13,"$1,444.24","Appliances, Garbage",# Bed: 2# Occ: 2
3018 FULTON ST #C,RENTED - Rented or Available since 12/14/1993,n/a,$550.06,"Garbage, Laundry Access",# Bed: 1
3018 FULTON ST #D,RENTED - Rented or Available,8/8/16,"$2,195.00","Appliances, Garbage",# Bed: 2# Occ: 2
3018 FULTON ST #E,RENTED - Rented or Available,5/1/08,$876.23,Parking,# Bed: 2# Occ: 2
3018 FULTON ST #F,RENTED - Rented or Available,6/7/13,"$1,444.24","Garbage, Water",# Bed: 2# Occ: 3
3024 FULTON ST #A,RENTED - Rented or Available,2/1/11,"$2,114.83","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 3# Occ: 3
3024 FULTON ST #B,OOCC - Owner Occupied since 7/1/2004,n/a,n/a,(no active services),n/a
3024 FULTON ST #C,RENTED - Rented or Available,9/3/10,$815.94,Laundry Access,# Bed: 0# Occ: 1
3024 FULTON ST #D,RENTED - Rented or Available since 12/10/2010,n/a,"$1,131.45",Laundry Access,# Bed: 1
3026 FULTON ST #A,OOCC - Owner Occupied since 7/3/1989,n/a,n/a,"Electricity, Furnishings, Garbage, Gas, Water",n/a
3026 FULTON ST #B,OOCC - Owner Occupied since 7/1/1995,n/a,n/a,"Electricity, Furnishings, Garbage, Gas, Water",n/a
3026 FULTON ST #C,OOCC - Owner Occupied since 5/1/2000,n/a,n/a,"Electricity, Furnishings, Garbage, Gas, Water",n/a
3031 FULTON ST #REAR,RENTED - Rented or Available,12/10/13,$828.24,"Appliances, Electricity, Garbage, Gas, Heat, Parking, Water",# Bed: 1# Occ: 1
3031 FULTON ST #FRONT,OOCC - Owner Occupied since 6/22/2011,n/a,n/a,"Furnishings, Garbage, Water",n/a
3038 FULTON ST,NAR - Not Available for Rent since 12/14/1993,n/a,n/a,"Storage, Water",n/a
3038 FULTON ST #1,NAR - Not Available for Rent since 7/3/1990,n/a,n/a,(no active services),n/a
3040 FULTON ST #A,RENTED - Rented or Available,6/15/00,"$1,797.25","Garbage, Sewer",# Bed: 2# Occ: 2
3040 FULTON ST #B,RENTED - Rented or Available,8/4/08,"$1,919.12","Appliances, Garbage, Laundry Access, Parking",# Bed: 2# Occ: 2
3040 FULTON ST #C,RENTED - Rented or Available,8/21/13,"$3,312.96","Garbage, Laundry Access, Water",# Bed: 3# Occ: 3
3040 FULTON ST #D,RENTED - Rented or Available,4/23/11,"$2,195.14","Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
3042 FULTON ST #A,RENTED - Rented or Available,7/16/16,"$2,950.00","Garbage, Laundry Access, Parking, Sewer",# Bed: 2# Occ: 3
3042 FULTON ST #B,RENTED - Rented or Available,5/25/14,"$2,436.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
3042 FULTON ST #C,RENTED - Rented or Available,5/15/10,"$1,811.91","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
3042 FULTON ST #D,RENTED - Rented or Available,6/9/14,"$2,182.25","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
3045 FULTON ST,OOCC - Owner Occupied since 4/30/1990,n/a,n/a,(no active services),n/a
3047 FULTON ST,OOCC - Owner Occupied since 7/14/1990,n/a,n/a,(no active services),n/a
3048 FULTON ST,OOCC - Owner Occupied since 6/1/1991,n/a,n/a,"Garbage, Laundry Access, Storage",n/a
2726 GARBER ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Storage",n/a
2730 GARBER ST #LOWER,OOCC - Owner Occupied since 8/25/1987,n/a,n/a,(no active services),n/a
2730 GARBER ST #UPPER,OOCC - Owner Occupied since 8/24/1987,n/a,n/a,(no active services),n/a
2730 GARBER ST #COTTAG,RENTED - Rented or Available,3/1/15,"$2,500.00","Appliances, Furnishings, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 2
2737 GARBER ST #1,RENTED - Rented or Available since 6/1/1992,n/a,"$1,041.37","Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1
2737 GARBER ST #2,RENTED - Rented or Available,6/1/15,"$2,200.00","Garbage, Heat, Laundry Access, Storage, Water",# Bed: 0# Occ: 1
2737 GARBER ST #3,RENTED - Rented or Available,12/1/07,"$1,717.54","Appliances, Garbage, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2737 GARBER ST #4,RENTED - Rented or Available,10/15/11,"$1,847.13","Appliances, Garbage, Heat, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
2737 GARBER ST #5,RENTED - Rented or Available,3/20/13,"$2,588.25","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 1
2737 GARBER ST #6,RENTED - Rented or Available,5/31/80,$872.29,"Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 0
2737 GARBER ST #7,RENTED - Rented or Available,5/31/80,$921.54,"Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 0
2737 GARBER ST #8,RENTED - Rented or Available,4/1/15,"$2,950.00","Appliances, Garbage, Heat, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 2
2737 GARBER ST #9,RENTED - Rented or Available,8/1/14,"$2,639.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water",# Bed: 1# Occ: 2
2736 GARBER ST,RENTED - Rented or Available,6/2/15,"$2,800.00","Garbage, Water",# Bed: 2# Occ: 1
2738 GARBER ST #1,OOCC - Owner Occupied since 8/1/2000,n/a,n/a,"Furnishings, Garbage, Sewer, Water",n/a
2738 GARBER ST #2,OOCC - Owner Occupied since 11/26/1997,n/a,n/a,"Garbage, Water",n/a
2738 GARBER ST #3,RENTED - Rented or Available,6/18/16,"$2,500.00","Garbage, Water",# Bed: 2# Occ: 2
2738 GARBER ST #4,RENTED - Rented or Available,6/1/15,"$2,850.00","Garbage, Water",# Bed: 2# Occ: 2
2746 GARBER ST #A,RENTED - Rented or Available,4/15/11,"$2,088.06","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2746 GARBER ST #B,RENTED - Rented or Available,7/6/10,"$2,175.86","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2744 PIEDMONT AVE,RENTED - Rented or Available,5/1/15,"$1,800.00","Garbage, Water",# Bed: 1# Occ: 1
2763 GARBER ST #1,RENTED - Rented or Available,6/1/16,"$1,925.00","Garbage, Gas, Laundry Access",# Bed: 2# Occ: 2
2763 GARBER ST #2,RENTED - Rented or Available,6/1/16,"$2,100.00","Garbage, Laundry Access, Storage",# Bed: 2# Occ: 2
2763 GARBER ST #3,RENTED - Rented or Available,5/31/80,$678.92,"Garbage, Gas, Sewer",# Bed: 0# Occ: 0
2763 GARBER ST #4,RENTED - Rented or Available,4/16/05,"$1,015.63","Appliances, Garbage, Heat, Laundry Access",# Bed: 0# Occ: 1
2763 GARBER ST #5,RENTED - Rented or Available,5/31/80,"$1,061.73","Garbage, Gas, Sewer",# Bed: 1# Occ: 0
2763 GARBER ST #6,RENTED - Rented or Available,6/1/16,"$1,677.00","Garbage, Laundry Access, Storage",# Bed: 0# Occ: 1
2763 GARBER ST #7,RENTED - Rented or Available,8/1/15,"$1,550.00","Garbage, Laundry Access",# Bed: 1# Occ: 1
2763 GARBER ST #8,RENTED - Rented or Available,7/15/04,"$1,486.54","Appliances, Garbage, Heat, Laundry Access, Storage",# Bed: 1# Occ: 1
2763 GARBER ST #9,RENTED - Rented or Available,6/1/16,"$3,700.00","Garbage, Laundry Access, Storage",# Bed: 3# Occ: 4
2800 GARBER ST,NAR - Not Available for Rent since 5/1/1994,n/a,n/a,Other,n/a
2800 GARBER ST #COTTAG,OOCC - Owner Occupied since 12/5/2011,n/a,n/a,(no active services),n/a
2831 GARBER ST #1,OOCC - Owner Occupied since 8/9/1990,n/a,n/a,(no active services),n/a
2831 GARBER ST #2,OOCC - Owner Occupied since 8/9/1990,n/a,n/a,(no active services),n/a
2831 GARBER ST #6,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Water",n/a
2847 GARBER ST #1,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,"Electricity, Garbage, Gas, Water",n/a
2847 GARBER ST #2,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,"Electricity, Garbage, Gas, Water",n/a
2849 GARBER ST,OOCC - Owner Occupied since 4/17/1991,n/a,n/a,(no active services),n/a
832 GILMAN ST,NAR - Not Available for Rent since 2/6/2001,n/a,n/a,(no active services),n/a
836 GILMAN ST,NAR - Not Available for Rent since 2/6/2001,n/a,n/a,(no active services),n/a
1121 GILMAN ST,OOCC - Owner Occupied since 12/29/2009,n/a,n/a,(no active services),n/a
1121 GILMAN ST #B,OOCC - Owner Occupied since 12/29/2009,n/a,n/a,"Appliances, Electricity, Garbage, Gas, Heat, Water",n/a
1125 GILMAN ST,RENTED - Rented or Available,11/2/07,"$1,794.94","Garbage, Laundry Access, Parking, Storage",# Bed: 2# Occ: 1
1136 GILMAN ST,DUPLEX - Owner Occ duplex since 10/30/2008,n/a,n/a,(no active services),n/a
1138 GILMAN ST,OOCC - Owner Occupied since 10/30/2008,n/a,n/a,(no active services),n/a
1208 GILMAN ST,OOCC - Owner Occupied since 4/1/2001,n/a,n/a,"Garbage, Laundry Access, Storage, Water",n/a
1221 GILMAN ST,OOCC - Owner Occupied since 12/15/2004,n/a,n/a,"Garbage, Laundry Access, Sewer, Storage, Water",n/a
1223 GILMAN ST,OOCC - Owner Occupied since 12/15/2004,n/a,n/a,"Garbage, Laundry Access, Sewer, Storage, Water",n/a
1231 GILMAN ST,OOCC - Owner Occupied since 8/11/2005,n/a,n/a,"Appliances, Laundry Access, Parking, Storage",n/a
1235 GILMAN ST,RENTED - Rented or Available,1/15/16,"$3,050.00","Appliances, Electricity, Garbage, Gas, Heat, Water",# Bed: 2# Occ: 2
1236 GILMAN ST #A,RENTED - Rented or Available,1/1/14,"$1,573.25","Garbage, Parking",# Bed: 2# Occ: 2
1236 GILMAN ST #B,RENTED - Rented or Available,4/13/13,"$1,501.19","Appliances, Garbage",# Bed: 2# Occ: 2
1305 EVELYN AVE,RENTED - Rented or Available,5/1/99,$925.54,"Garbage, Sewer, Water",# Bed: 1# Occ: 1
1252 GILMAN ST,OOCC - Owner Occupied since 7/1/2003,n/a,n/a,"Garbage, Water",n/a
1301 GILMAN ST #101,RENTED - Rented or Available,2/16/16,"$1,825.00","Appliances, Garbage, Water",# Bed: 1# Occ: 1
1301 GILMAN ST #102,RENTED - Rented or Available since 3/1/2011,n/a,$665.44,"Appliances, Garbage, Sewer, Water",# Bed: 1
1301 GILMAN ST #103,RENTED - Rented or Available,9/1/13,"$1,190.60","Appliances, Garbage, Water",# Bed: 1# Occ: 1
1301 GILMAN ST #104,RENTED - Rented or Available,6/15/12,"$1,047.64","Appliances, Garbage, Water",# Bed: 1# Occ: 2
1301 GILMAN ST #105,RENTED - Rented or Available,1/2/13,"$1,112.95","Appliances, Garbage, Water",# Bed: 1# Occ: 1
1301 GILMAN ST #106,RENTED - Rented or Available,3/1/02,"$1,033.72","Garbage, Sewer, Water",# Bed: 1# Occ: 2
1301 GILMAN ST #107,RENTED - Rented or Available,3/1/16,"$1,525.00","Appliances, Garbage, Water",# Bed: 1# Occ: 2
1301 GILMAN ST #108,RENTED - Rented or Available,6/1/09,"$1,040.77","Garbage, Water",# Bed: 1# Occ: 2
1301 GILMAN ST #109,RENTED - Rented or Available,1/1/10,$951.94,"Garbage, Water",# Bed: 1# Occ: 1
1301 GILMAN ST #110,RENTED - Rented or Available,8/15/97,$665.44,"Appliances, Garbage, Sewer, Water",# Bed: 1# Occ: 0
1301 GILMAN ST #111,RENTED - Rented or Available,9/23/11,"$1,017.25","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
1301 GILMAN ST #112,RENTED - Rented or Available,6/19/12,"$1,047.64","Appliances, Garbage, Water",# Bed: 1# Occ: 1
1301 GILMAN ST #113,RENTED - Rented or Available,2/14/97,$639.80,"Appliances, Garbage, Sewer, Water",# Bed: 1# Occ: 0
1301 GILMAN ST #114,RENTED - Rented or Available,10/3/03,$953.95,"Garbage, Sewer, Water",# Bed: 1# Occ: 2
1301 GILMAN ST #201,RENTED - Rented or Available,7/8/98,$711.26,"Appliances, Garbage, Sewer, Water",# Bed: 1# Occ: 0
1301 GILMAN ST #202,RENTED - Rented or Available,2/11/15,"$1,350.00","Appliances, Garbage, Water",# Bed: 8# Occ: 1
1301 GILMAN ST #203,RENTED - Rented or Available,6/8/98,$691.11,"Appliances, Garbage, Sewer, Water",# Bed: 1# Occ: 0
1301 GILMAN ST #204,RENTED - Rented or Available,5/16/09,"$1,040.77","Garbage, Water",# Bed: 1# Occ: 2
1301 GILMAN ST #205,RENTED - Rented or Available,9/23/12,"$1,131.88","Appliances, Garbage, Water",# Bed: 1# Occ: 1
1301 GILMAN ST #206,RENTED - Rented or Available,1/1/12,"$1,026.58","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
1301 GILMAN ST #207,RENTED - Rented or Available,8/1/08,"$1,014.40","Garbage, Water",# Bed: 1# Occ: 1
1301 GILMAN ST #208,RENTED - Rented or Available,2/1/06,$892.04,"Garbage, Water",# Bed: 1# Occ: 2
1301 GILMAN ST #209,RENTED - Rented or Available,7/1/14,"$1,243.38","Garbage, Water",# Bed: 1# Occ: 2
1301 GILMAN ST #210,RENTED - Rented or Available,5/31/80,$613.84,"Appliances, Garbage, Sewer, Water",# Bed: 1# Occ: 0
1301 GILMAN ST #211,RENTED - Rented or Available,9/3/13,"$1,190.60","Appliances, Garbage, Water",# Bed: 1# Occ: 1
1301 GILMAN ST #212,RENTED - Rented or Available,5/31/80,$613.84,"Appliances, Garbage, Sewer, Water",# Bed: 1# Occ: 0
1301 GILMAN ST #213,RENTED - Rented or Available,5/31/80,$593.19,"Appliances, Garbage, Sewer, Water",# Bed: 1# Occ: 0
1301 GILMAN ST #214,RENTED - Rented or Available,5/31/80,$593.19,"Appliances, Garbage, Sewer, Water",# Bed: 1# Occ: 0
1331 GILMAN ST,NAR - Not Available for Rent since 3/8/2012,n/a,n/a,"Laundry Access, Parking, Storage",n/a
1390 GILMAN ST,OOCC - Owner Occupied since 7/1/1993,n/a,n/a,(no active services),n/a
1397 GILMAN ST,RENTED - Rented or Available,3/12/13,"$1,961.89",Sewer,# Bed: 2# Occ: 2
1399 GILMAN ST,(~) MISC - Exempt-Misc since 4/1/2001,n/a,n/a,"Garbage, Parking, Storage",n/a
1160 GLEN AVE,"CHSFD - Single family, C-H exempt since 4/3/2000",n/a,n/a,(no active services),n/a
1164 GLEN AVE,OOCC - Owner Occupied since 7/15/1996,n/a,n/a,(no active services),n/a
1173 GLEN AVE #1,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,(no active services),n/a
1173 GLEN AVE #2,OOCC - Owner Occupied since 8/1/1990,n/a,n/a,(no active services),n/a
1185 GLEN AVE,OOCC - Owner Occupied since 9/13/1999,n/a,n/a,(no active services),n/a
1230 GLEN AVE,OOCC - Owner Occupied since 3/30/1988,n/a,n/a,"Furnishings, Laundry Access, Parking, Storage",n/a
2257 GLEN AVE,MISC - Exempt-Misc since 6/30/1994,n/a,n/a,(no active services),n/a
1403 GRANT ST,OOCC - Owner Occupied since 5/1/1990,n/a,n/a,"Laundry Access, Parking, Storage",n/a
1416 GRANT ST,OOCC - Owner Occupied since 6/21/1995,n/a,n/a,"Electricity, Gas",n/a
1427 GRANT ST,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,(no active services),n/a
1432 GRANT ST #1,OOCC - Owner Occupied since 11/19/1987,n/a,n/a,"Electricity, Garbage, Gas, Parking, Water",n/a
1432 GRANT ST #2,OOCC - Owner Occupied since 4/10/1987,n/a,n/a,"Garbage, Water",n/a
1432 GRANT ST #3,OOCC - Owner Occupied since 4/10/1987,n/a,n/a,"Garbage, Parking, Water",n/a
1432 GRANT ST #4,OOCC - Owner Occupied since 12/19/1989,n/a,n/a,"Garbage, Water",n/a
1449 GRANT ST,RENTED - Rented or Available,7/20/16,"$4,300.00","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 2
1801 VINE ST,RENTED - Rented or Available,9/17/14,"$2,567.95",Appliances,# Bed: 2# Occ: 2
1500 GRANT ST #1,RENTED - Rented or Available,3/1/01,"$1,215.53","Appliances, Garbage, Parking, Sewer, Storage, Water",# Bed: 1# Occ: 2
1500 GRANT ST #2,RENTED - Rented or Available,12/1/13,"$1,035.30","Appliances, Storage, Water",# Bed: 1# Occ: 1
1500 GRANT ST #3,RENTED - Rented or Available,2/1/09,"$1,424.22","Appliances, Garbage, Storage, Water",# Bed: 1# Occ: 1
1500 GRANT ST #4,RENTED - Rented or Available,6/1/07,"$1,137.52","Appliances, Garbage, Parking, Storage, Water",# Bed: 1# Occ: 1
1507 GRANT ST,OOCC - Owner Occupied since 7/30/1996,n/a,n/a,(no active services),n/a
1509 GRANT ST #A,RENTED - Rented or Available,7/1/15,"$2,275.25","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
1509 GRANT ST #B,RENTED - Rented or Available since 8/1/2007,n/a,$874.35,"Garbage, Water",# Bed: 2
1509 GRANT ST #C,RENTED - Rented or Available since 7/1/1992,n/a,$746.30,"Garbage, Water",# Bed: 2
1509 GRANT ST #D,RENTED - Rented or Available since 1/11/2011,n/a,"$2,195.14","Appliances, Garbage, Water",# Bed: 3
1509 GRANT ST #E,RENTED - Rented or Available,1/11/13,"$1,397.66","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 1
1512 GRANT ST #1,OOCC - Owner Occupied since 2/1/1991,n/a,n/a,"Garbage, Water",n/a
1512 GRANT ST #2,OOCC - Owner Occupied since 12/1/2010,n/a,n/a,"Garbage, Water",n/a
1512 GRANT ST #3,OOCC - Owner Occupied since 2/11/2002,n/a,n/a,"Garbage, Water",n/a
1512 GRANT ST #4,OOCC - Owner Occupied since 6/1/1991,n/a,n/a,"Garbage, Storage, Water",n/a
1518 GRANT ST,OOCC - Owner Occupied since 9/4/2002,n/a,n/a,"Appliances, Garbage, Laundry Access, Parking, Storage, Water",n/a
1518 GRANT ST #B,RENTED - Rented or Available,7/1/15,"$1,800.00","Electricity, Furnishings, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
1518 GRANT ST #C,RENTED - Rented or Available,8/15/12,"$1,421.42","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
1520 GRANT ST,RENTED - Rented or Available,4/15/10,"$1,740.70","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
1522 GRANT ST,RENTED - Rented or Available,3/1/09,"$1,369.43","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 1
1522 GRANT ST #A,RENTED - Rented or Available,4/1/15,"$2,100.00","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
1524 GRANT ST,OOCC - Owner Occupied since 1/1/2000,n/a,n/a,"Garbage, Water",n/a
1531 GRANT ST #1-LOW,OOCC - Owner Occupied since 1/1/1999,n/a,n/a,"Electricity, Garbage, Gas, Water",n/a
1531 GRANT ST #2-UPP,OOCC - Owner Occupied since 1/1/1999,n/a,n/a,"Electricity, Garbage, Gas, Water",n/a
1604 GRANT ST #1,RENTED - Rented or Available,6/15/14,"$2,430.93","Appliances, Garbage, Water",# Bed: 2# Occ: 2
1604 GRANT ST #2,RENTED - Rented or Available,10/1/14,"$2,253.30","Appliances, Garbage, Water",# Bed: 2# Occ: 2
1604 GRANT ST #3,RENTED - Rented or Available since 9/1/1991,n/a,"$1,161.40","Appliances, Garbage, Parking, Storage, Water",# Bed: 2
1608 GRANT ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Parking, Storage",n/a
1619 GRANT ST #1,RENTED - Rented or Available,3/1/16,"$2,100.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 1
1619 GRANT ST #2,RENTED - Rented or Available,8/16/12,"$1,184.52","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
1619 GRANT ST #3,RENTED - Rented or Available,3/1/08,"$1,151.47","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
1619 GRANT ST #4,RENTED - Rented or Available,12/20/15,"$2,100.00","Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
1619 GRANT ST #5,RENTED - Rented or Available,8/1/14,"$1,522.50","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
1619 GRANT ST #6,RENTED - Rented or Available,7/1/16,"$1,750.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
1623 GRANT ST #A,RENTED - Rented or Available,9/15/14,"$1,192.63","Garbage, Parking",# Bed: 1# Occ: 1
1623 GRANT ST #B,RENTED - Rented or Available,6/1/09,"$1,205.10","Garbage, Parking",# Bed: 1# Occ: 2
1625 GRANT ST #A,RENTED - Rented or Available,11/20/11,"$1,242.14",Garbage,# Bed: 1# Occ: 1
1625 GRANT ST #B,RENTED - Rented or Available,6/15/09,"$1,068.18","Garbage, Parking",# Bed: 1# Occ: 2
1627 GRANT ST #A,RENTED - Rented or Available,10/1/04,"$1,308.14","Garbage, Water",# Bed: 1# Occ: 1
1627 GRANT ST #B,RENTED - Rented or Available,5/31/80,$669.64,"Garbage, Water",# Bed: 1# Occ: 0
1627 GRANT ST #C,RENTED - Rented or Available,5/1/14,"$1,877.75","Appliances, Garbage, Heat, Storage, Water",# Bed: 1# Occ: 1
1627 GRANT ST #D,RENTED - Rented or Available,12/1/08,"$1,315.97","Appliances, Garbage, Storage, Water",# Bed: 1# Occ: 1
1627 GRANT ST #E,RENTED - Rented or Available,9/26/13,"$1,552.95","Appliances, Garbage, Storage, Water",# Bed: 1# Occ: 1
1627 GRANT ST #F,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,"Garbage, Sewer, Water",n/a
1627 GRANT ST #G,RENTED - Rented or Available,6/1/13,"$1,501.19","Appliances, Garbage, Storage, Water",# Bed: 1# Occ: 2
1627 GRANT ST #H,RENTED - Rented or Available,12/1/15,"$2,100.00","Garbage, Water",# Bed: 1# Occ: 2
1636 GRANT ST #A,(~) MISC - Exempt-Misc since 12/14/1993,n/a,n/a,(no active services),n/a
1636 GRANT ST #B,RENTED - Rented or Available since 6/1/2015,n/a,$0.00,(no active services),# Bed: 0
1636 GRANT ST #C,OOCC - Owner Occupied since 10/19/1990,n/a,n/a,(no active services),n/a
1636 GRANT ST #D,OOCC - Owner Occupied since 10/19/1990,n/a,n/a,(no active services),n/a
1638 GRANT ST,OOCC - Owner Occupied since 6/6/2002,n/a,n/a,"Garbage, Laundry Access, Storage",n/a
1642 GRANT ST,OOCC - Owner Occupied since 4/21/2004,n/a,n/a,"Garbage, Laundry Access, Storage",n/a
1751 VIRGINIA ST,OOCC - Owner Occupied since 4/21/2004,n/a,n/a,"Garbage, Laundry Access, Parking, Storage",n/a
1753 VIRGINIA ST,OOCC - Owner Occupied since 4/21/2004,n/a,n/a,"Garbage, Laundry Access, Parking, Storage",n/a
1710 GRANT ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
1710 GRANT ST #A,RENTED - Rented or Available,2/7/15,"$2,200.00","Garbage, Water",# Bed: 2# Occ: 2
1712 GRANT ST,RENTED - Rented or Available,8/1/09,"$1,922.68","Appliances, Electricity, Garbage, Gas, Parking, Water",# Bed: 2# Occ: 2
1712 GRANT ST #A,OOCC - Owner Occupied since 6/1/2004,n/a,n/a,"Electricity, Garbage, Gas, Water",n/a
1801 FRANCISCO ST,OOCC - Owner Occupied since 7/26/1990,n/a,n/a,(no active services),n/a
1803 FRANCISCO ST,RENTED - Rented or Available,5/31/80,"$1,270.51","Garbage, Storage",# Bed: 2# Occ: 0
1805 FRANCISCO ST,RENTED - Rented or Available,4/1/06,"$1,755.33","Appliances, Garbage, Laundry Access, Sewer",# Bed: 2# Occ: 2
1723 GRANT ST,RENTED - Rented or Available,12/1/13,"$1,035.30","Appliances, Garbage",# Bed: 2# Occ: 2
1733 GRANT ST #A,RENTED - Rented or Available,10/16/13,"$1,708.25","Appliances, Garbage, Gas, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
1733 GRANT ST #B,RENTED - Rented or Available,7/1/14,"$1,877.75","Appliances, Garbage, Gas, Laundry Access, Parking, Water",# Bed: 2# Occ: 1
1733 GRANT ST #C,RENTED - Rented or Available,7/1/13,"$1,735.09","Appliances, Garbage, Gas, Laundry Access, Water",# Bed: 2# Occ: 2
1733 GRANT ST #D,RENTED - Rented or Available,8/1/96,$823.68,"Appliances, Garbage, Gas, Laundry Access, Parking, Sewer, Storage, Water",# Bed: 1# Occ: 0
1733 GRANT ST #E,RENTED - Rented or Available,3/15/15,"$2,250.00","Appliances, Garbage, Gas, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
1733 GRANT ST #F,RENTED - Rented or Available,6/1/14,"$1,725.50","Appliances, Garbage, Gas, Water",# Bed: 2# Occ: 1
1733 GRANT ST #G,RENTED - Rented or Available,5/4/14,"$1,725.50","Garbage, Gas, Water",# Bed: 2# Occ: 2
1733 GRANT ST #H,RENTED - Rented or Available,11/15/05,"$1,299.03","Appliances, Garbage, Gas, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
